"","date&time","person","social_media","socialising","avoid_people","avoid_activities","procrastinating","positive","negative","submit"
"91","2021-12-09 11:01:11","2","60","4","3","1","1","3","7","1"
"92","2021-12-09 14:17:21","2","5","70","1","2","1","4","5","1"
"93","2021-12-10 05:13:38","2","21","180","1","2","1","7","2","1"
"94","2021-12-10 08:09:04","2","5","120","1","2","1","9","2","1"
"95","2021-12-10 11:05:05","2","5","180","1","1","1","8","1","1"
"96","2021-12-10 14:01:31","2","20","120","1","1","1","7","1","1"
"97","2021-12-11 05:25:22","2","52","60","1","3","2","7","1","1"
"98","2021-12-11 08:09:55","2","20","80","1","1","2","8","2","1"
"99","2021-12-11 11:01:16","2","8","90","1","1","1","7","1","1"
"100","2021-12-11 14:01:06","2","20","120","1","2","1","8","2","1"
"101","2021-12-12 05:01:03","2","17","60","1","1","1","7","3","1"
"102","2021-12-12 08:27:42","2","45","3","3","2","4","7","2","1"
"103","2021-12-12 11:13:11","2","50","5","2","3","4","7","1","1"
"104","2021-12-12 14:12:03","2","60","40","1","1","1","7","3","1"
